Address:,USB0::0x0957::0x179B::MY59127587::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
,,,-0.0201562500775,0.390355040231952,0.427261434495449,
,,,-0.020104166745,0.399008307082113,0.921834172913805,
,,,-0.0200520834125,0.408073634258471,1.78876862558536,
,,,-0.02000000008,0.416726901108632,2.56786390463822,
,,,-0.0199479167475,0.42579222828499,1.79258772009052,
,,,-0.019895833415,0.434033434808953,0.610577970743179,
,,,-0.0198437500825,0.440626400028123,0.0281660587061197,
,,,-0.01979166675,0.446807304921094,-0.275451954454184,
,,,-0.0197395834175,0.452576149487868,-0.453039848944172,
,,,-0.019687500085,0.459581175033236,-0.55424585333094,
,,,-0.0196354167525,0.467822381557198,-0.653542310465127,
,,,-0.01958333342,0.475651527754962,-0.693642802769318,
,,,-0.0195312500875,0.483068613626529,-0.707009633537382,
,,,-0.019479166755,0.490897759824293,-0.73756238957867,
,,,-0.0194270834225,0.499138966348255,-0.718466917052865,
,,,-0.01937500009,0.507380172872217,-0.710828728042543,
,,,-0.0193229167575,0.515209319069982,-0.716557369800285,
,,,-0.019270833425,0.522626404941548,-0.689823708264157,
,,,-0.0192187500925,0.530455551139312,-0.676456877496094,
,,,-0.01916666676,0.538284697337076,-0.672637782990932,
,,,-0.0191145834275,0.54611384353484,-0.645904121454805,
,,,-0.019062500095,0.553530929406406,-0.624899101676419,
,,,-0.0190104167625,0.561360075604171,-0.621080007171258,
,,,-0.01895833343,0.569189221801935,-0.609622723655775,
,,,-0.0189062500975,0.577018367999699,-0.580979514867067,
,,,-0.018854166765,0.584023393545067,-0.571431778604165,
,,,-0.0188020834325,0.591852539742831,-0.588617703877389,
,,,-0.0187500001,0.599269625614397,-0.552336306078359,
,,,-0.0186979167675,0.606686711485963,-0.535150380805135,
,,,-0.018645833435,0.614103797357529,-0.51605490827933,
,,,-0.0185937501025,0.621520883229095,-0.491230793995783,
,,,-0.01854166677,0.628937969100662,-0.508416719269007,
,,,-0.0184895834375,0.636355054972228,-0.491230793995783,
,,,-0.018437500105,0.643360080517596,-0.4797735104803,
,,,-0.0183854167725,0.650777166389162,-0.464497132459655,
,,,-0.01833333344,0.65778219193453,-0.451130301691592,
,,,-0.0182812501075,0.664787217479898,-0.456858943449333,
,,,-0.018229166775,0.672204303351464,-0.437763470923528,
,,,-0.0181770834425,0.679209328896832,-0.439673018176109,
,,,-0.01812500011,0.6862143544422,-0.458768490701914,
,,,-0.0180729167775,0.693219379987568,-0.428215734660625,
,,,-0.018020833445,0.700224405532936,-0.40721071488224,
,,,-0.0179687501125,0.707229431078304,-0.393843884114176,
,,,-0.01791666678,0.71464651694987,-0.395753431366757,
,,,-0.0178645834475,0.721651542495238,-0.382386600598693,
,,,-0.017812500115,0.728656568040606,-0.386205695103854,
,,,-0.0177604167825,0.735661593585974,-0.374748411588371,
,,,-0.01770833345,0.742666619131342,-0.357562486315146,
,,,-0.0176562501175,0.74967164467671,-0.367110222578049,
,,,-0.017604166785,0.756676670222078,-0.349924297304824,
,,,-0.0175520834525,0.763681695767445,-0.369019769830629,
,,,-0.01750000012,0.771098781639012,-0.353743391809985,
,,,-0.0174479167875,0.777691746858181,-0.348014750052243,
,,,-0.017395833455,0.784284712077351,-0.384296147851273,
,,,-0.0173437501225,0.790877677296521,-0.367110222578049,
,,,-0.01729166679,0.797882702841889,-0.397662978619337,
,,,-0.0172395834575,0.803651547408663,-0.380477053346112,
,,,-0.017187500125,0.809832452301634,-0.338467013789341,
,,,-0.0171354167925,0.816013357194606,-0.342286108294502,
,,,-0.01708333346,0.822194262087578,-0.363291128072888,
,,,-0.0170312501275,0.827963106654352,-0.317461994010955,
,,,-0.016979166795,0.833731951221125,-0.328919277526438,
,,,-0.0169270834625,0.839088735461701,-0.304095163242891,
,,,-0.01687500013,0.844445519702276,-0.340376561041921,
,,,-0.0168229167975,0.849802303942852,-0.332738372031599,
,,,-0.016770833465,0.855159088183427,-0.323190635768697,
,,,-0.0167187501325,0.860103812097805,-0.327009730273858,
,,,-0.0166666668,0.864636475685984,-0.327009730273858,
,,,-0.0166145834675,0.869169139274163,-0.29836652148515,
,,,-0.016562500135,0.873289742536144,-0.271632859949023,
,,,-0.0165104168025,0.877410345798125,-0.254446934675798,
,,,-0.01645833347,0.881118888733909,-0.239170556655154,
,,,-0.0164062501375,0.884827431669692,-0.231532367644832,
,,,-0.016354166805,0.887711853953078,-0.220075084129348,
,,,-0.0163020834725,0.891008336562663,-0.244899198412895,
,,,-0.01625000014,0.894304819172248,-0.244899198412895,
,,,-0.0161979168075,0.897189241455635,-0.244899198412895,
,,,-0.016145833475,0.899661603412824,-0.22580372588709,
,,,-0.0160937501425,0.902546025696211,-0.229622820392251,
,,,-0.01604166681,0.905018387653399,-0.218165536876768,
,,,-0.0159895834775,0.907902809936786,-0.170426855562255,
,,,-0.015937500145,0.910375171893975,-0.178065044572577,
,,,-0.0158854168125,0.912435473524965,-0.181884139077738,
,,,-0.01583333348,0.914495775155956,-0.199070064350963,
,,,-0.0157812501475,0.916556076786947,-0.197160517098382,
,,,-0.015729166815,0.918204318091739,-0.191431875340641,
,,,-0.0156770834825,0.919852559396531,-0.200979611603543,
,,,-0.01562500015,0.921088740375126,-0.206708253361285,
,,,-0.0155729168175,0.921912861027522,-0.204798706108704,
,,,-0.015520833485,0.923149042006116,-0.208617800613865,
,,,-0.0154687501525,0.923561102332314,-0.208617800613865,
,,,-0.01541666682,0.923973162658513,-0.216255989624187,
,,,-0.0153645834875,0.923973162658513,-0.199070064350963,
,,,-0.015312500155,0.924385222984711,-0.206708253361285,
,,,-0.0152604168225,0.923973162658513,-0.174245950067416,
,,,-0.01520833349,0.923561102332314,-0.179974591825157,
,,,-0.0151562501575,0.923149042006116,-0.166607761057094,
,,,-0.015104166825,0.922736981679918,-0.187612780835479,
,,,-0.0150520834925,0.921500800701324,-0.166607761057094,
,,,-0.01500000016,0.920676680048928,-0.143693194026127,
,,,-0.0149479168275,0.919852559396531,-0.174245950067416,
,,,-0.014895833495,0.919028438744135,-0.164698213804513,
,,,-0.0148437501625,0.917380197439343,-0.149421835783869,
,,,-0.01479166683,0.916556076786947,-0.155150477541611,
,,,-0.0147395834975,0.914907835482154,-0.145602741278708,
,,,-0.014687500165,0.91367165450356,-0.147512288531289,
,,,-0.0146354168325,0.912435473524965,-0.118869079742581,
,,,-0.0145833335,0.911199292546371,-0.149421835783869,
,,,-0.0145312501675,0.909551051241579,-0.126507268752903,
,,,-0.014479166835,0.908314870262984,-0.111230890732259,
,,,-0.0144270835025,0.90707868928439,-0.118869079742581,
,,,-0.01437500017,0.905430447979597,-0.0921354182064533,
,,,-0.0143229168375,0.904194267001003,-0.0883163237012923,
,,,-0.014270833505,0.902546025696211,-0.0844972291961312,
,,,-0.0142187501725,0.901309844717616,-0.0959545127116144,
,,,-0.01416666684,0.899661603412824,-0.11504998523742,
,,,-0.0141145835075,0.898013362108031,-0.0634922094177455,
,,,-0.014062500175,0.896365120803239,-0.065401756670326,
,,,-0.0140104168425,0.894716879498446,-0.11695953249,
,,,-0.01395833351,0.893480698519852,-0.0940449654590338,
,,,-0.0139062501775,0.89183245721506,-0.0577635676600039,
,,,-0.013854166845,0.890184215910267,-0.118869079742581,
,,,-0.0138020835125,0.888535974605475,-0.0749494929332286,
,,,-0.01375000018,0.886887733300682,-0.0978640599641949,
,,,-0.0136979168475,0.88523949199589,-0.0501253786496818,
,,,-0.013645833515,0.883591250691097,-0.0405776423867792,
,,,-0.0135937501825,0.881943009386305,-0.0864067764487118,
,,,-0.01354166685,0.880294768081512,-0.0940449654590338,
,,,-0.0134895835175,0.878234466450522,-0.0806781346909702,
,,,-0.013437500185,0.876174164819531,-0.0596731149125844,
,,,-0.0133854168525,0.874113863188541,-0.0902258709538728,
,,,-0.01333333352,0.871641501231352,-0.0558540204074234,
,,,-0.0132812501875,0.869581199600361,-0.0615826621651649,
,,,-0.013229166855,0.867108837643173,-0.0615826621651649,
,,,-0.0131770835225,0.864224415359786,-0.0482158313971013,
,,,-0.01312500019,0.861339993076399,-0.0615826621651649,
,,,-0.0130729168575,0.858043510466814,-0.0615826621651649,
,,,-0.013020833525,0.854747027857229,-0.0615826621651649,
,,,-0.0129687501925,0.851038484921446,-0.0443967368919402,
,,,-0.01291666686,0.846917881659465,-0.0482158313971013,
,,,-0.0128645835275,0.842797278397484,-0.025301264366135,
,,,-0.012812500195,0.837852554483106,-0.0100248863454908,
,,,-0.0127604168625,0.832495770242531,-0.0195726226083934,
