Address:,USB0::0x0957::0x179B::MY59127587::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
,,,-0.0166145834675,-0.422794505691854,1.46223604539409,
,,,-0.016562500135,-0.423206566018052,1.47560287616216,
,,,-0.0165104168025,-0.423206566018052,1.42595464759506,
,,,-0.01645833347,-0.423618626344251,1.42022600583732,
,,,-0.0164062501375,-0.423618626344251,1.31711045419797,
,,,-0.016354166805,-0.423618626344251,1.21781399706379,
,,,-0.0163020834725,-0.423206566018052,1.11087935091928,
,,,-0.01625000014,-0.422794505691854,1.0497738388367,
,,,-0.0161979168075,-0.422382445365656,0.954296476207674,
,,,-0.016145833475,-0.421970385039458,0.837814093800262,
,,,-0.0160937501425,-0.421146264387062,0.728969900403172,
,,,-0.01604166681,-0.420734204060864,0.601030234480277,
,,,-0.0159895834775,-0.420322143734666,0.499824230093509,
,,,-0.015937500145,-0.419498023082269,0.390980036696419,
,,,-0.0158854168125,-0.419085962756071,0.272588107036427,
,,,-0.01583333348,-0.418261842103675,0.148467535618693,
,,,-0.0157812501475,-0.417437721451279,0.0835429290309548,
,,,-0.015729166815,-0.416613600798883,0.0262565114535391,
,,,-0.0156770834825,-0.416201540472684,-0.0959545127116144,
,,,-0.01562500015,-0.41496535949409,-0.164698213804513,
,,,-0.0155729168175,-0.414553299167892,-0.185703233582899,
,,,-0.015520833485,-0.413729178515496,-0.246808745665476,
,,,-0.0154687501525,-0.4129050578631,-0.311733352253214,
,,,-0.01541666682,-0.412080937210703,-0.349924297304824,
,,,-0.0153645834875,-0.411668876884505,-0.432034829165787,
,,,-0.015312500155,-0.410844756232109,-0.44540165993385,
,,,-0.0152604168225,-0.410020635579713,-0.4797735104803,
,,,-0.01520833349,-0.409196514927316,-0.48168305773288,
,,,-0.0151562501575,-0.407960333948722,-0.537059928057715,
,,,-0.015104166825,-0.407136213296326,-0.550426758825779,
,,,-0.0150520834925,-0.40631209264393,-0.559974495088682,
,,,-0.01500000016,-0.405487971991533,-0.580979514867067,
,,,-0.0149479168275,-0.404663851339137,-0.571431778604165,
,,,-0.014895833495,-0.403839730686741,-0.546607664320618,
,,,-0.0148437501625,-0.402603549708147,-0.565703136846423,
