Address:,USB0::0x0957::0x179B::MY59127587::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
,,,-0.0190104167625,-0.272392486629542,0.0071610389277339,
,,,-0.01895833343,-0.278161331196316,0.0415328894741833,
,,,-0.0189062500975,-0.283930175763089,0.0854524762835354,
,,,-0.018854166765,-0.290111080656061,0.0969097597990185,
,,,-0.0188020834325,-0.295879925222835,0.0911811180412769,
,,,-0.0187500001,-0.301648769789608,0.0778142872732133,
,,,-0.0186979167675,-0.307005554030184,0.0854524762835354,
,,,-0.018645833435,-0.312774398596957,0.0701760982628912,
,,,-0.0185937501025,-0.318543243163731,0.0816333817783743,
,,,-0.01854166677,-0.323900027404306,0.131281610345468,
,,,-0.0184895834375,-0.329256811644882,0.0663570037577301,
,,,-0.018437500105,-0.334613595885457,0.150377082871273,
,,,-0.0183854167725,-0.339558319799835,0.112186137819663,
,,,-0.01833333344,-0.34491510404041,0.095000212546438,
,,,-0.0182812501075,-0.349859827954788,0.123643421335146,
,,,-0.018229166775,-0.354804551869165,0.142738893860951,
,,,-0.0181770834425,-0.358925155131146,0.165653460891917,
,,,-0.01812500011,-0.363869879045524,0.179020291659981,
,,,-0.0180729167775,-0.368402542633703,0.146557988366112,
,,,-0.018020833445,-0.372523145895684,0.173291649902239,
,,,-0.0179687501125,-0.376643749157665,0.226758972974494,
,,,-0.01791666678,-0.380352292093448,0.222939878469333,
,,,-0.0178645834475,-0.384060835029231,0.291683579562232,
,,,-0.017812500115,-0.387357317638816,0.326055430108681,
,,,-0.0177604167825,-0.390653800248401,0.293593126814812,
,,,-0.01770833345,-0.393538222531788,0.366155922412872,
,,,-0.0176562501175,-0.396834705141373,0.390980036696419,
,,,-0.017604166785,-0.399307067098562,0.457814190536737,
,,,-0.0175520834525,-0.40177942905575,0.543743816902861,
,,,-0.01750000012,-0.404663851339137,0.629673443268985,
,,,-0.0174479167875,-0.406724152970128,0.690778955351561,
,,,-0.017395833455,-0.408784454601118,0.786256317980587,
,,,-0.0173437501225,-0.411256816558307,0.849271377315745,
,,,-0.01729166679,-0.413729178515496,0.961934665217996,
,,,-0.0172395834575,-0.415789480146486,1.1089698036667,
,,,-0.017187500125,-0.417849781777477,1.25027630035765,
,,,-0.0171354167925,-0.419910083408467,1.41449736407958,
,,,-0.01708333346,-0.421970385039458,1.55580386077054,
,,,-0.0170312501275,-0.423206566018052,1.68374352669343,
,,,-0.016979166795,-0.424854807322845,1.83650730689988,
,,,-0.0169270834625,-0.426090988301439,1.85942187393084,
,,,-0.01687500013,-0.427327169280034,1.90334146074019,
,,,-0.0168229167975,-0.42815128993243,1.90907010249794,
,,,-0.016770833465,-0.429387470911024,1.85560277942568,
,,,-0.0167187501325,-0.429387470911024,1.84223594865762,
,,,-0.0166666668,-0.429799531237222,1.76394451130182,
,,,-0.0166145834675,-0.429799531237222,1.67228624317795,
,,,-0.016562500135,-0.429799531237222,1.58062797505409,
,,,-0.0165104168025,-0.429799531237222,1.51952246297151,
,,,-0.01645833347,-0.429387470911024,1.41831645858474,
,,,-0.0164062501375,-0.429387470911024,1.30756271793507,
,,,-0.016354166805,-0.428975410584826,1.20062807179056,
,,,-0.0163020834725,-0.428563350258628,1.09942206740379,
,,,-0.01625000014,-0.427739229606232,1.00012561026961,
,,,-0.0161979168075,-0.427327169280034,0.860728660831228,
,,,-0.016145833475,-0.426503048627637,0.774799034465104,
,,,-0.0160937501425,-0.425678927975241,0.679321671836078,
,,,-0.01604166681,-0.425266867649043,0.593392045469955,
,,,-0.0159895834775,-0.424442746996647,0.446356907021254,
,,,-0.015937500145,-0.424030686670449,0.335603166371584,
,,,-0.0158854168125,-0.423206566018052,0.221030331216753,
,,,-0.01583333348,-0.421970385039458,0.0759047400206327,
,,,-0.0157812501475,-0.42155832471326,-0.029120358871296,
,,,-0.015729166815,-0.421146264387062,-0.0978640599641949,
,,,-0.0156770834825,-0.419910083408467,-0.204798706108704,
,,,-0.01562500015,-0.419498023082269,-0.29836652148515,
,,,-0.0155729168175,-0.418261842103675,-0.33655746653676,
,,,-0.015520833485,-0.417437721451279,-0.411029809387401,
,,,-0.0154687501525,-0.417025661125081,-0.475954415975139,
,,,-0.01541666682,-0.415789480146486,-0.537059928057715,
,,,-0.0153645834875,-0.415377419820288,-0.626808648929,
,,,-0.015312500155,-0.414141238841694,-0.682185519253835,
,,,-0.0152604168225,-0.413317118189298,-0.716557369800285,
,,,-0.01520833349,-0.412492997536901,-0.73565284232609,
,,,-0.0151562501575,-0.411668876884505,-0.794848807156086,
,,,-0.015104166825,-0.410844756232109,-0.785301070893183,
,,,-0.0150520834925,-0.410020635579713,-0.825401563197374,
,,,-0.01500000016,-0.408784454601118,-0.827311110449955,
,,,-0.0149479168275,-0.407960333948722,-0.827311110449955,
,,,-0.014895833495,-0.406724152970128,-0.861682960996404,
,,,-0.0148437501625,-0.405900032317732,-0.848316130228341,
,,,-0.01479166683,-0.404251791012939,-0.852135224733502,
,,,-0.0147395834975,-0.403015610034345,-0.88268798077479,
,,,-0.014687500165,-0.401367368729552,-0.865502055501565,
,,,-0.0146354168325,-0.400131187750958,-0.905602547805756,
,,,-0.0145833335,-0.398482946446165,-0.894145264290273,
,,,-0.0145312501675,-0.396422644815175,-0.928517114836723,
,,,-0.014479166835,-0.394362343184184,-0.951431681867689,
