Address:,USB0::0x0957::0x179B::MY59127587::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
,,,-0.018020833445,0.694455560966162,-0.397662978619337,
,,,-0.0179687501125,0.701872646837728,-0.386205695103854,
,,,-0.01791666678,0.708877672383096,-0.369019769830629,
,,,-0.0178645834475,0.715470637602266,-0.355652939062566,
,,,-0.017812500115,0.722887723473832,-0.353743391809985,
,,,-0.0177604167825,0.729480688693002,-0.332738372031599,
,,,-0.01770833345,0.73648571423837,-0.390024789609015,
,,,-0.0176562501175,0.743490739783738,-0.338467013789341,
,,,-0.017604166785,0.750083705002908,-0.340376561041921,
,,,-0.0175520834525,0.756676670222078,-0.332738372031599,
,,,-0.01750000012,0.764093756093644,-0.306004710495472,
,,,-0.0174479167875,0.770274660986615,-0.309823805000633,
,,,-0.017395833455,0.776867626205785,-0.277361501706764,
,,,-0.0173437501225,0.783048531098757,-0.290728332474828,
,,,-0.01729166679,0.789229435991729,-0.304095163242891,
,,,-0.0172395834575,0.794998280558502,-0.321281088516116,
,,,-0.017187500125,0.801179185451474,-0.313642899505794,
,,,-0.0171354167925,0.806948030018248,-0.307914257748052,
,,,-0.01708333346,0.812304814258823,-0.330828824779019,
,,,-0.0170312501275,0.817661598499399,-0.315552446758375,
,,,-0.016979166795,0.823018382739974,-0.302185615990311,
,,,-0.0169270834625,0.82837516698055,-0.29836652148515,
,,,-0.01687500013,0.833319890894927,-0.309823805000633,
,,,-0.0168229167975,0.838676675135503,-0.306004710495472,
,,,-0.016770833465,0.84362139904988,-0.281180596211925,
,,,-0.0167187501325,0.848566122964257,-0.288818785222247,
,,,-0.0166666668,0.85227466590004,-0.288818785222247,
,,,-0.0166145834675,0.85680732948822,-0.286909237969667,
,,,-0.016562500135,0.860927932750201,-0.283090143464506,
,,,-0.0165104168025,0.865048536012182,-0.237261009402573,
,,,-0.01645833347,0.868757078947965,-0.242989651160315,
,,,-0.0164062501375,0.872465621883748,-0.22580372588709,
,,,-0.016354166805,0.876174164819531,-0.220075084129348,
,,,-0.0163020834725,0.879058587102918,-0.200979611603543,
,,,-0.01625000014,0.882355069712503,-0.214346442371607,
,,,-0.0161979168075,0.884827431669692,-0.214346442371607,
,,,-0.016145833475,0.887711853953078,-0.162788666551933,
,,,-0.0160937501425,0.890184215910267,-0.206708253361285,
,,,-0.01604166681,0.893068638193654,-0.195250969845802,
,,,-0.0159895834775,0.895128939824644,-0.210527347866446,
,,,-0.015937500145,0.897601301781833,-0.208617800613865,
,,,-0.0158854168125,0.899661603412824,-0.204798706108704,
,,,-0.01583333348,0.901721905043814,-0.185703233582899,
,,,-0.0157812501475,0.903370146348607,-0.195250969845802,
,,,-0.015729166815,0.905018387653399,-0.195250969845802,
,,,-0.0156770834825,0.906254568631994,-0.216255989624187,
,,,-0.01562500015,0.907490749610588,-0.195250969845802,
,,,-0.0155729168175,0.908314870262984,-0.216255989624187,
,,,-0.015520833485,0.908726930589182,-0.220075084129348,
,,,-0.0154687501525,0.90913899091538,-0.195250969845802,
,,,-0.01541666682,0.90913899091538,-0.208617800613865,
,,,-0.0153645834875,0.909551051241579,-0.202889158856124,
,,,-0.015312500155,0.90913899091538,-0.174245950067416,
,,,-0.0152604168225,0.90913899091538,-0.18952232808806,
,,,-0.01520833349,0.908314870262984,-0.158969572046772,
,,,-0.0151562501575,0.907902809936786,-0.147512288531289,
,,,-0.015104166825,0.907490749610588,-0.155150477541611,
,,,-0.0150520834925,0.906254568631994,-0.122688174247742,
,,,-0.01500000016,0.905430447979597,-0.149421835783869,
,,,-0.0149479168275,0.904606327327201,-0.157060024794191,
,,,-0.014895833495,0.903370146348607,-0.15133138303645,
,,,-0.0148437501625,0.902133965370012,-0.136055005015805,
,,,-0.01479166683,0.901309844717616,-0.118869079742581,
,,,-0.0147395834975,0.900073663739022,-0.145602741278708,
,,,-0.014687500165,0.898837482760428,-0.107411796227098,
,,,-0.0146354168325,0.897601301781833,-0.065401756670326,
,,,-0.0145833335,0.896365120803239,-0.0806781346909702,
,,,-0.0145312501675,0.895128939824644,-0.0959545127116144,
,,,-0.014479166835,0.89389275884605,-0.124597721500322,
,,,-0.0144270835025,0.892656577867456,-0.109321343479678,
,,,-0.01437500017,0.891008336562663,-0.11504998523742,
,,,-0.0143229168375,0.889772155584069,-0.109321343479678,
,,,-0.014270833505,0.888535974605475,-0.130326363258064,
,,,-0.0142187501725,0.886887733300682,-0.130326363258064,
,,,-0.01416666684,0.885651552322088,-0.0959545127116144,
,,,-0.0141145835075,0.884415371343493,-0.0921354182064533,
,,,-0.014062500175,0.882355069712503,-0.0921354182064533,
,,,-0.0140104168425,0.881118888733909,-0.0844972291961312,
,,,-0.01395833351,0.879882707755314,-0.0844972291961312,
,,,-0.0139062501775,0.878234466450522,-0.0997736072167754,
,,,-0.013854166845,0.876998285471927,-0.0806781346909702,
,,,-0.0138020835125,0.875350044167135,-0.0768590401858091,
,,,-0.01375000018,0.874113863188541,-0.0539444731548429,
,,,-0.0136979168475,0.872465621883748,-0.0787685874383897,
,,,-0.013645833515,0.870405320252758,-0.0749494929332286,
,,,-0.0135937501825,0.869169139274163,-0.0902258709538728,
,,,-0.01354166685,0.867520897969371,-0.0825876819435507,
,,,-0.0134895835175,0.86546059633838,-0.0844972291961312,
,,,-0.013437500185,0.863812355033588,-0.0482158313971013,
