Description	
Number of Runs	100
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	950
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
293	950	5	1	05/15/23 04:37:32 PM	
294	950	3	1	05/15/23 04:37:33 PM	
295	950	5	1	05/15/23 04:37:34 PM	
296	950	2	1	05/15/23 04:37:35 PM	
297	950	5	1	05/15/23 04:37:36 PM	
298	950	1	1	05/15/23 04:37:38 PM	
299	950	3	1	05/15/23 04:37:39 PM	
300	950	2	1	05/15/23 04:37:40 PM	
301	950	3	1	05/15/23 04:37:41 PM	
302	950	3	1	05/15/23 04:37:42 PM	
303	950	2	1	05/15/23 04:37:43 PM	
304	950	5	1	05/15/23 04:37:44 PM	
305	950	5	1	05/15/23 04:37:46 PM	
306	950	3	1	05/15/23 04:37:47 PM	
307	950	3	1	05/15/23 04:37:48 PM	
308	950	1	1	05/15/23 04:37:49 PM	
309	950	4	1	05/15/23 04:37:50 PM	
310	950	4	1	05/15/23 04:37:51 PM	
311	950	3	1	05/15/23 04:37:52 PM	
312	950	4	1	05/15/23 04:37:54 PM	
313	950	3	1	05/15/23 04:37:55 PM	
314	950	1	1	05/15/23 04:37:56 PM	
315	950	4	1	05/15/23 04:37:57 PM	
316	950	2	1	05/15/23 04:37:58 PM	
317	950	2	1	05/15/23 04:37:59 PM	
318	950	4	1	05/15/23 04:38:00 PM	
319	950	3	1	05/15/23 04:38:02 PM	
320	950	4	1	05/15/23 04:38:03 PM	
321	950	3	1	05/15/23 04:38:04 PM	
322	950	4	1	05/15/23 04:38:05 PM	
323	950	0	1	05/15/23 04:38:06 PM	
324	950	2	1	05/15/23 04:38:07 PM	
325	950	2	1	05/15/23 04:38:08 PM	
326	950	0	1	05/15/23 04:38:10 PM	
327	950	5	1	05/15/23 04:38:11 PM	
328	950	6	1	05/15/23 04:38:12 PM	
329	950	0	1	05/15/23 04:38:13 PM	
330	950	5	1	05/15/23 04:38:14 PM	
331	950	5	1	05/15/23 04:38:15 PM	
332	950	5	1	05/15/23 04:38:17 PM	
333	950	4	1	05/15/23 04:38:18 PM	
334	950	5	1	05/15/23 04:38:19 PM	
335	950	1	1	05/15/23 04:38:20 PM	
336	950	5	1	05/15/23 04:38:21 PM	
337	950	2	1	05/15/23 04:38:22 PM	
338	950	1	1	05/15/23 04:38:23 PM	
339	950	1	1	05/15/23 04:38:24 PM	
340	950	0	1	05/15/23 04:38:26 PM	
341	950	1	1	05/15/23 04:38:27 PM	
342	950	1	1	05/15/23 04:38:28 PM	
343	950	2	1	05/15/23 04:38:29 PM	
344	950	0	1	05/15/23 04:38:30 PM	
345	950	5	1	05/15/23 04:38:31 PM	
346	950	3	1	05/15/23 04:38:32 PM	
347	950	1	1	05/15/23 04:38:34 PM	
348	950	2	1	05/15/23 04:38:35 PM	
349	950	0	1	05/15/23 04:38:36 PM	
350	950	5	1	05/15/23 04:38:37 PM	
351	950	5	1	05/15/23 04:38:38 PM	
352	950	3	1	05/15/23 04:38:39 PM	
353	950	2	1	05/15/23 04:38:41 PM	
354	950	1	1	05/15/23 04:38:42 PM	
355	950	4	1	05/15/23 04:38:43 PM	
356	950	5	1	05/15/23 04:38:44 PM	
357	950	2	1	05/15/23 04:38:45 PM	
358	950	4	1	05/15/23 04:38:46 PM	
359	950	3	1	05/15/23 04:38:47 PM	
360	950	3	1	05/15/23 04:38:49 PM	
361	950	5	1	05/15/23 04:38:50 PM	
362	950	1	1	05/15/23 04:38:51 PM	
363	950	3	1	05/15/23 04:38:52 PM	
364	950	1	1	05/15/23 04:38:53 PM	
365	950	5	1	05/15/23 04:38:54 PM	
366	950	2	1	05/15/23 04:38:56 PM	
367	950	1	1	05/15/23 04:38:57 PM	
368	950	5	1	05/15/23 04:38:58 PM	
369	950	1	1	05/15/23 04:38:59 PM	
370	950	2	1	05/15/23 04:39:00 PM	
371	950	1	1	05/15/23 04:39:01 PM	
372	950	1	1	05/15/23 04:39:02 PM	
373	950	3	1	05/15/23 04:39:04 PM	
374	950	5	1	05/15/23 04:39:05 PM	
375	950	1	1	05/15/23 04:39:06 PM	
376	950	5	1	05/15/23 04:39:07 PM	
377	950	2	1	05/15/23 04:39:08 PM	
378	950	4	1	05/15/23 04:39:09 PM	
379	950	3	1	05/15/23 04:39:10 PM	
380	950	4	1	05/15/23 04:39:12 PM	
381	950	5	1	05/15/23 04:39:13 PM	
382	950	1	1	05/15/23 04:39:14 PM	
383	950	2	1	05/15/23 04:39:15 PM	
384	950	2	1	05/15/23 04:39:16 PM	
385	950	5	1	05/15/23 04:39:17 PM	
386	950	3	1	05/15/23 04:39:19 PM	
387	950	3	1	05/15/23 04:39:20 PM	
388	950	2	1	05/15/23 04:39:21 PM	
389	950	3	1	05/15/23 04:39:22 PM	
390	950	2	1	05/15/23 04:39:23 PM	
391	950	0	1	05/15/23 04:39:24 PM	
392	950	3	1	05/15/23 04:39:25 PM	
393	950	2	1	05/15/23 04:39:27 PM	
394	950	5	1	05/15/23 04:39:28 PM	
395	950	1	1	05/15/23 04:39:29 PM	
396	950	3	1	05/15/23 04:39:30 PM	
397	950	2	1	05/15/23 04:39:31 PM	
398	950	0	1	05/15/23 04:39:32 PM	
399	950	2	1	05/15/23 04:39:33 PM	
400	950	1	1	05/15/23 04:39:35 PM	
401	950	0	1	05/15/23 04:39:36 PM	
402	950	0	1	05/15/23 04:39:37 PM	
403	950	4	1	05/15/23 04:39:38 PM	
404	950	3	1	05/15/23 04:39:39 PM	
405	950	1	1	05/15/23 04:39:40 PM	
406	950	4	1	05/15/23 04:39:41 PM	
407	950	0	1	05/15/23 04:39:43 PM	
408	950	2	1	05/15/23 04:39:44 PM	
409	950	2	1	05/15/23 04:39:45 PM	
410	950	4	1	05/15/23 04:39:46 PM	
411	950	2	1	05/15/23 04:39:47 PM	
412	950	3	1	05/15/23 04:39:48 PM	
413	950	3	1	05/15/23 04:39:49 PM	
